Not_grabbed	Grabbed
2022.0	1904.0
2758.0	1447.0
2509.0	2032.0
2625.0	1995.0
2559.0	1867.0
2581.0	1643.0
2501.0	1697.0
2756.0	1727.0
2800.0	1673.0
2763.0	1782.0
2554.0	1750.0
2260.0	2119.0
2389.0	1821.0
2454.0	2067.0
2617.0	1721.0
2659.0	1884.0
2649.0	1598.0
2713.0	2052.0
2654.0	2069.0
2767.0	1620.0
2655.0	1698.0
2658.0	2032.0
2594.0	1852.0
2730.0	1981.0
2556.0	1925.0
2757.0	1796.0
2550.0	1687.0
2686.0	1878.0
2728.0	1598.0
2764.0	245.0
