"Not_grabbed	Grabbed"
2686.0	1266.0
2673.0	1865.0
2637.0	1864.0
2745.0	1451.0
2777.0	1664.0
2614.0	1940.0
2618.0	1956.0
2803.0	1357.0
2818.0	1387.0
2654.0	1729.0
2145.0	2015.0
2429.0	1618.0
2457.0	2087.0
2770.0	1510.0
2749.0	1993.0
2632.0	1759.0
2751.0	2130.0
2503.0	1704.0
2510.0	1705.0
2747.0	1828.0
2759.0	1393.0
2375.0	2022.0
2630.0	1902.0
2721.0	1577.0
2523.0	1912.0
2605.0	2040.0
2817.0	1898.0
2676.0	1729.0
2713.0	2085.0
2561.0	1917.0
